brand,model,version,price,kilometraje,cylinder,city,region,year,fuel_type,transmission,doors,plate,description,only_owner,never_bumped,checked_maintenance,state
GEELY,AZKARRA,1.5L,17500000,30000,1.5,Antofagasta,2,2022,gasolina,automatico,4,RTLT48,"Camara 360 grados(frontal, lateral,trasero)
•Sensor proximidad delantero y trasero
•Freno de mano electronico 
•Autohold (asistencia pendientes, semaforos)
•Asientos Electricos y de Cuero de Napa
•Climatizador Bizona
•Regulador altura de luces
•Espejos electricos
•Llantas de Aleacion 18” 
•Lectura Presión neumaticos
•Laminas de seguridad 04 micras certificadas
•02 Llaves con sensor",True,,,1
HYUNDAI,CRETA,,8900000,120000,1.6,Antofagasta,2,2018,gasolina,,4,KGLC61,CRETA GLS 1.6,,,,1
M. BENZ,C,43 AMG,39970000,63000,,Vitacura,13,2019,gasolina,automatico,4,LBBD63,"Un lobo con piel de oveja, Biturbo 4 Matic,  impecable estado, solo 4.7 seg 0-100 km/hrs, 390 CV / 520 NM, V6 3.0, asientos eléctricos calefaccionados con memoria conductor y acompañante, abatibles de espejos, sunroof, volante multifuncional, diferentes modos de conducción , cámara marcha atrás, sensores estacionamiento, levas en el volante, encendido star stop, freno electrónico, manutenciones al día documentación al día, laminas seguridad protemax,  Sistema de sonido Burmester, Aceptaríamos vehículo en pago, aceptamos tarjetas, gestionamos financiamiento automotriz, gestionamos notarias e inscripción, gestionamos Seguros y Tag,   agenda tu visita. te esperamos...!! ",,,,1
SUZUKI,GRAND NOMADE,,8500000,120000,2.4,Antofagasta,2,2015,gasolina,mecanico,4,HKVF13,"Suzuki g.nomade GLX 4x4
•Motor 2.4 con 5 marchas
•Version 4x4 (4H, 4H y 4LOCK)
•Climatizador con aire acondicionado 
•Radio con Pantalla 4k nueva!
•Mapas, spotify, youtube
•Mandos al volante 
•Airbags, Frenos ABS
•Frenos de discos nuevos los 4
•4 Neumaticos nuevos
•Bujias nuevas
•Luces con neblineros
•Llantas de aleacion de fabrica
•Permiso de circulación pagado 24/2025",,,,1
VOLKSWAGEN,AMAROK,,21990000,65000,2.0,Las Condes,13,2021,diesel,mecanico,4,PTTB27,"Volkswagen Amarok Trendline 2.0lts
4x4 cuidado maneatico.",True,True,,1
M. BENZ,E43,,41790000,64000,,Las Condes,13,2018,,,,KKZH18,,,,,1
JEEP,PATRIOT,"SPORT 2,4 LTS. DOHC STATION WAGON 5P. T/A 4X4 MOTOR OTTO",10900000,119000,2.4,San Pedro de la Paz,8,2015,gasolina,automatico,5,HBRD99,"Patriot en Excelente estado y cuidado, muchos extras con look único:

Kit suspensión y levante completo Rough country 2 pulgadas (delantero y trasero)
Neumáticos AT maxxis razr 235/65 R17 y llantas negras 
Sellado cerámico
Vidrios polarizados tinteados
Fundas de asientos
Cubo de arrastre para porta bicis o motos
Barras de techo thule wing edge para porta equipaje
Radio Apple Android Car Play con comandos al volante Pioneer
4x4 con posibilidad de 4wd lock (bloqueo)
Soy tercer dueño 

Solo reales interesados,
Más de 3 millones en extras
Todas sus mantenciones al día, cuento con certificado anotaciones vigentes e informe Dilly
Permiso circulación y seguro 2024 pagado",,,,1
CHEVROLET,PRISMA,,6390000,159000,,Cerrillos,13,2018,,,,GYLJ28,,,,,1
MITSUBISHI,L200,KATANA CRM 2.2 MT 4X4,9580000,122965,,Providencia,13,2015,diesel,mecanico,,HDZC67,"NO MINERÍA, EXCELENTE ESTADO, TURBO, DIESEL, FULL",,,,1
SUZUKI,SWIFT,,6500000,118000,,Las Condes,13,2012,gasolina,automatico,5,DKBC87,,,,,1
JEEP,GRAND CHEROKEE,L LIMITED 3.6L 4X4,18980000,135600,3.6,Providencia,13,2016,gasolina,automatico,5,HPKF61,2016 JEEP GRAND CHEROKEE LIMITED 4X4 3.6,,,,1
BMW,316I,,10700000,155000,,Vitacura,13,2015,,,,HJRV30,"La BMW 316 1.6 AUT presenta un equipamiento completo que combina elegancia y rendimiento: motor de 1.6 litros, transmisión automática, control de estabilidad, frenos antibloqueo (ABS), asistencia de frenado, control de tracción, aire acondicionado, sistema de audio con reproductor de CD, conectividad Bluetooth, asientos de cuero, volante multifunción, sensor de estacionamiento trasero y llantas de aleación. Es una opción refinada y dinámica para la conducción diaria. 3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito. ",,,,1
CHEVROLET,TAHOE,,53890000,21000,,Las Condes,13,2021,,,,RPFY79,,,,,1
CHANGAN,UNI-T,"1,5 TURBO A/T",18990000,17000,1.5,Las Condes,13,2022,gasolina,automatico,5,SFBW78,"・ COMANDOS AL VOLANTE

・ CONTROL CRUCERO

・ RADIO BLUETOOTH

・ APPLE CARPLAY

・ ANDROID AUTO

・ USB

・ AUX

・ CARGADOR INALAMBRICO

・ SENSORES DE ESTACIONAMIENTO

・ CAMARA DE RETROCESO, LATERAL Y 360°

・ MODOS DE CONDUCCIÓN

・ ASISTENCIAS DE CONDUCCIÓN

・ ALZAVIDRIOS ELÉCTRICOS

・ ESPEJOS RETROVISORES ABATIBLES

・ TECHO PANORÁMICO",,True,True,1
AUDI,A7,,14980000,171000,3.0,Providencia,13,2013,gasolina,automatico,5,FPJG65,"AUDI A7 SPORTBACK 3.0 AUT TURBO, EXCELENTE ESTADO, OPORTUNIDAD, MÁXIMO EQUIPAMIENTO.",,,,1
MAZDA,BT50,,11980000,160000,,Las Condes,13,2013,,,,FHWJ10,"COLOR: PLATEADO
3.2 DIESEL AUTOMATICA, 4X4 , A TODA PRUEBA, FULL EQUIPO , RECIBIMOS VEHICULOS EN PAGO,TARJETAS DE CREDITO, VEHICULO DISPONIBLE EN NUESTRO LOCAL UBICADO EN LAS CONDES SECTOR METRO BILBAO LUNES A VIERNES DE 9:30 A 18:00 SÁBADOS DE 10:00 A 13:30 EXCEPTO FESTIVOS,",,,,1
JEEP,WRANGLER,,41990000,39000,,Las Condes,13,2021,,,,RJPV76,,,,,1
MAXUS,T90,,22390000,33400,,Las Condes,13,2022,,,,RWTP56,,,,,1
M. BENZ,A200,HATCHBACK,15890000,103276,1.6,Santiago,13,2015,gasolina,automatico,3,HDXL63,"Marca: Mercedes Benz 
Modelo: A200 Look AMG
Motor:  1.6 Turbo 
Transmisión: Automática
Año: 2015
Smart Key 
Combustible: Bencina 
Kilometraje: 103.276.-

Equipamiento: 
Pantalla con cámara de reversa y Android auto
Control al Volante
Sensores delanteros y Traseros 
Techo eléctrico panorámico 
Air Bag Fontales y laterales 
Inmovilizador de Motor, Alarma 
Línea completa en Inox y DownPipe.
Repro Stage 2
Sprint Booster Elimina el lag del acelerador, tiene 20 niveles y se puede apagar, también se le puede bloquear el acelerador, solo se Apaga y prende
Blow Off (Válvula de alivio del turbo)
Máscara Mercedes GT
Spoiler A 45
Llantas y caliper pintados
Canards traseros 
Canards delanteros 
Espejos deportivos Eléctricos
Emblemas en negro 
Cinturones delanteros en Rojo
Láminas de seguridad certificadas

Documentos al día, Sin Partes ni Multas llegar y Transferir 
                Gestionamos Financiamientos 
             ¡Evaluación, Fácil, Rápida y Segura!",,True,,1
INFINITI,QX50,,25990000,36000,,Las Condes,13,2019,,,,LGRS97,,,,,1
RENAULT,SYMBOL,"1,6 LTS. SOHC SEDÁN 4P. T/M MOTOR OTTO",7480000,44000,1.6,Maipú,13,2021,gasolina,mecanico,4,PBFV97,"SE VENDE RENAULT SYMBOL

📱+56949448029

• Año:2021
• Kilometraje:44.000
• Combustible: GASOLINA
• Transmisión: Manual 
• Aire acondicionado 
• Sensores de retroceso 
• Llantas aro 15
• Comandos al volante
• Airbag Delanteros
• Asientos de tela
• Conexión a USB, auxiliar, Bluetooth 
• Dos copias de llaves
• Cierre centralizado
• ⁠Sistema isofix 

💲Precio:6.980.000
💲Pie:1.800.000
💲Precio al contado:7.480.000
Vendedor: Daniel Díaz 📱49448029
⏱️Atención Lunes a Domingo 10 am a 18 pm / Camino lonquen 9011 maipu Autoparque (previa coordinación)

💳 ACEPTAMOS PAGOS CON TARJETA DE CREDITO
🚗 RECIBIMOS AUTOS EN PARTE DE PAGO
🔐 GESTIONAMOS SEGURO AUTOMOTRIZ",,True,,1
VOLKSWAGEN,TAOS,,17290000,71700,,Cerrillos,13,2023,,,,SGRV23,,,,,1
SUZUKI,SWIFT,,9990000,92345,,Las Condes,13,2019,,,,LFYK33,,,,,1
KIA,RIO 4,,7780000,117000,,Macul,13,2017,,,,RAAR51,,,,,1
SSANGYONG,MUSSO,,15200000,98864,,Vitacura,13,2021,,,,RDLC69,"La SSANGYONG MUSSO GRAND 2.2 4X2 DIESEL MEC. está equipada con un motor diésel de 2.2 litros que ofrece un buen equilibrio entre potencia y eficiencia. Su interior es amplio y cómodo, con asientos de tela, aire acondicionado y un sistema de infoentretenimiento con pantalla táctil, Bluetooth y conectividad USB. Incluye características de seguridad como frenos ABS, control de estabilidad y múltiples airbags. Su diseño robusto y moderno se complementa con llantas de aleación y una parrilla distintiva.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito",,,,1
BMW,X2,,26990000,84900,,Las Condes,13,2019,,,,KVJC38,,,,,1
BMW,X5,,40500000,70085,2.0,Las Condes,13,2020,diesel,automatico,5,PGTW14,"BMW X5 XDrive 25D 2.0 2020

Información General
- Único dueño
- 70.085 Kms
- Mantenciones al día
- 2 llaves originales

Motor y Rendimiento:
- Motor: 2.0 litros y 4 cilindros en línea, con tecnología BMW TwinPower Turbo.
- Potencia: 231 caballos de fuerza.
- Transmisión: Automática Steptronic de 8 velocidades.
- Tracción: Integral 

Interior y Confort:
- Asientos: Los asientos delanteros son ajustables eléctricamente, con 2 función de memoria en asiento piloto.
- Climatización: Cuenta con climatizador automático bi zona.

Tecnología y Entretenimiento:
- Sistema de infoentretenimiento: Incluye una pantalla táctil que permite controlar las funciones del vehículo, la navegación y el entretenimiento.
- Conectividad: Bluetooth, puertos USB y compatibilidad con Apple CarPlay y Android Auto.

Seguridad y Asistencia al Conductor:
- Asistencias: Alerta de colisión frontal, y frenado automático de emergencia.
- Cámaras y Sensores: Cámara trasera, sensores de estacionamiento delanteros y traseros",True,True,,1
AUDI,Q3,,33970000,5795,1.4,Las Condes,13,2024,gasolina,automatico,5,THTL38,"Audi Q3 Sportback 1.4T 35 TFSI S Tronic 2024

Información General:
- Único dueño
- 2 llaves originales
- Sólo 5.795 kms

Motor y Rendimiento
- Motor: 1.4 litros TFSI de 4 cilindros.
- Potencia: 150 caballos de fuerza.
- Transmisión: S Tronic de 6 velocidades.
- Tracción: Tracción delantera.
- Aceleración: 0-100 km/h en aproximadamente 9.3 segundos.
- Velocidad máxima: Alrededor de 204 km/h.

Interior y Confort:
- Capacidad: 5 plazas.
- Pantalla táctil MMI: Pantalla central de 10.1 pulgadas compatible con Apple CarPlay y Android Auto.
- Tablero digital: Permite ver el mapa de navegación, información de consumo, música y más.

Seguridad:
- Cámara de visión trasera y sensores de estacionamiento delanteros y traseros.
- Airbags: Bolsas de aire frontales, laterales y de cortina para todos los ocupantes.
- Control de estabilidad y tracción
- Isofix

Tecnología y Conectividad:
- Audi Drive Select: Modos de conducción (Comfort, Auto, Dynamic, Efficiency e Individual).
- Sistema Start-Stop: Red",True,True,,1
SUZUKI,GRAND VITARA,,8990000,98000,,Las Condes,13,2016,,,,HVCH25,,,,,1
CITROEN,C5,,23990000,29200,,Cerrillos,13,2023,,,,SRKD17,,,,,1
PEUGEOT,PARTNER,,8950000,100000,,Macul,13,2020,,,,RAAR55,,,,,1
MAZDA,MAZDA3,,12980000,69809,2.5,Las Condes,13,2018,gasolina,automatico,5,JZXV17,"Mazda 3 Sport 2.5 Skyactiv-G GT Auto Bose 2018

Información General:
- Segundo dueño.
- Todas las mantenciones al día en la marca.
- 69.809 kms.
- 1 llave original.

Motor y rendimiento:
- Motor: 2.5 litros, 4 cilindros, atmosférico.
- Potencia: 186 caballos de fuerza.
- Transmisión: Automática de 6 velocidades con modo manual.
- Tracción: Tracción delantera (FWD).
- Consumo de combustible: Aproximadamente entre 11-13 km/l en conducción mixta.

Diseño exterior:
- Llantas: Ruedas de aleación de 18 pulgadas.
- Espejos exteriores: Espejos eléctricos 
- Techo solar.

Interior y confort
- Capacidad: Espacio para 5 ocupantes.
- Materiales: Asientos de cuero.
- Tecnología: Pantalla central de 7 pulgadas que Incluye navegación, radio AM/FM, Bluetooth.
- Sistema de sonido: Bose de 9 altavoces.
- Climatización: Automático bi-zona.
- KeyLess
- Modo Conducción: Sport

Seguridad
- Asistencias al conductor: Frenado automático de emergencia, monitore",,True,True,1
VOLKSWAGEN,TIGUAN,,17999000,79678,,Las Condes,13,2018,,,,KGBV77,,,,,1
CITROEN,C5,,16500000,83000,,Quilicura,13,2021,,,,XXXC90,,,,,1
MAZDA,6,,8890000,242000,,Santiago,13,2013,,,,FTJJ80,,,,,1
HYUNDAI,ATOS,,7200000,16000,,Macul,13,2022,,,,RAAR60,,,,,1
AUDI,A3,,13300000,90673,1.4,Las Condes,13,2018,gasolina,automatico,5,KHGH35,"Audi A3 1.4 TFSI Stronic Auto 2018

Información General
- Segundo dueño
- 90.673 Kms
- Mantenciones al día y en la marca
- 2 llaves originales

Motor y rendimiento
- Motor: 1.4 litros TFSI de 4 cilindros.
- Potencia: Genera150 caballos de fuerza.
- Transmisión: Caja de cambios automática S tronic de 7 velocidades.
- Tracción: Tracción delantera (FWD).
- Aceleración: De 0 a 100 km/h en aproximadamente 8.2 segundos.
- Consumo de combustible: Aproximadamente entre 18-20 km/l en condiciones mixtas.

Diseño exterior
- Ruedas: Llantas de aleación de 17 pulgadas.
- Espejos exteriores: Espejos eléctricos.

Interior y confort
- Capacidad: Para 5 ocupantes.
- Asientos: De cuero.
- Sistema de infoentretenimiento: Con conectividad Bluetooth, radio AM/FM, y control por voz.
- Climatización: Climatizador automático.

Seguridad
- Asistencias al conductor: Control de crucero, sistema de frenado automático, asistente de cambio de carril y alerta de salida de carril.
- Sensores de estacionamiento delant",,True,True,1
FORD,ESCAPE,,9990000,123000,,Santiago,13,2015,,,,HDYG38,,,,,1
NISSAN,NAVARA,,21990000,61000,,Concepción,8,2022,,,,RZJW91,,,,,1
INFINITI,QX50,,25990000,36000,,Las Condes,13,2019,,,,LGRS97,,,,,1
FORD,ECOSPORT,,9990000,69000,,Concepción,8,2018,,,,KFWS30,,,,,1
RENAULT,SYMBOL,"1,6 LTS. SOHC SEDÁN 4P. T/M MOTOR OTTO",7480000,44000,1.6,Maipú,13,2021,gasolina,mecanico,4,PBFV97,"SE VENDE RENAULT SYMBOL

📱+56949448029

• Año:2021
• Kilometraje:44.000
• Combustible: GASOLINA
• Transmisión: Manual 
• Aire acondicionado 
• Sensores de retroceso 
• Llantas aro 15
• Comandos al volante
• Airbag Delanteros
• Asientos de tela
• Conexión a USB, auxiliar, Bluetooth 
• Dos copias de llaves
• Cierre centralizado
• ⁠Sistema isofix 

💲Precio:6.980.000
💲Pie:1.800.000
💲Precio al contado:7.480.000
Vendedor: Daniel Díaz 📱49448029
⏱️Atención Lunes a Domingo 10 am a 18 pm / Camino lonquen 9011 maipu Autoparque (previa coordinación)

💳 ACEPTAMOS PAGOS CON TARJETA DE CREDITO
🚗 RECIBIMOS AUTOS EN PARTE DE PAGO
🔐 GESTIONAMOS SEGURO AUTOMOTRIZ",,True,,1
SANGYONG,NEW REXTON,,23990000,70000,,Concepción,8,2021,,,,RCYH66,,,,,1
SUZUKI,DZIRE,,7980000,55000,,Macul,13,2022,,,,RAAR53,,,,,1
FIAT,UNO,"SPORTING 1,4 LTS. DOHC HATCHBACK 5P. T/M MOTOR OTTO",7480000,64000,1.4,Maipú,13,2021,gasolina,mecanico,4,LSZY15,"FIAT UNO SPORTING 1.4 2020

📱+56949448029
• Año:2020
• Kilometraje:64000
• Combustible: Bencina 
• Transmisión: Manual 
• Aire acondicionado
• Sensores de retroceso 
• Comandos al volante
• Airbag Delanteros 
• Sistema isofix
• Asientos de tela
• Conexión a USB, auxiliar, Bluetooth 
• Dos copias de llaves
• ⁠Único dueño 
• ⁠Todos los documentos al día  

💲Precio con financiamineto:7.480.000
💲Pie min:1.870.000
💲Precio al contado:7.980.000
Vendedor: Daniel Díaz 📱49448029
⏱️Atención Lunes a Domingo 10 am a 18 pm / Camino lonquen 9011 maipu Autoparque (previa coordinación)

💳 ACEPTAMOS PAGOS CON TARJETA DE CREDITO
🚗 RECIBIMOS AUTOS EN PARTE DE PAGO
🔐 GESTIONAMOS SEGURO AUTOMOTRIZ SURA",True,True,,1
CHEVROLET,SPARK,,7250000,82000,,Macul,13,2021,,,,RAAR50,,,,,1
SUBARU,OUTBACK,,16300000,129816,2.5,Las Condes,13,2019,gasolina,automatico,5,KSJG28,"Subaru Outback 2.5I CVT Auto Limited ES 4WD 2019 

Información General:
- Segunda dueña
- 129.816 kms
- 2 llaves originales
- Mantenciones al día, en la marca hasta los 45 mil.

Motor y Rendimiento:
- Motor: 2.5 litros, 4 cilindros en línea. 
- Potencia: Alrededor de 175 caballos de fuerza.
- Transmisión: Automática.
- Tracción: Integral permanente Symmetrical All-Wheel Drive (AWD).

Diseño Exterior:
- Faros: Delanteros LED adaptativos con función de encendido y apagado automático.
- Llantas: De aleación de 18 pulgadas.
- Espejos eléctricos.
- SunRoof

Interior y Confort:
- Asientos: Ajustables eléctricamente con 2 memoria de asiento en asiento piloto.
- Climatización: Automático bi zona.

Tecnología y Entretenimiento
- Sistema de infoentretenimiento: Equipado con una pantalla táctil de 8 pulgadas, compatible con Apple CarPlay y Android Auto.

Seguridad y Asistencia al Conductor:
- Frenado precolisión
- Control de crucero adaptativo
- Asistente de mantenimiento de carril
- Advertencia ",,True,,1
SSANGYONG,GRAND MUSSO,,25990000,44500,,Las Condes,13,2022,,,,RXVG31,,,,,1
M. BENZ,E200,,8990000,215000,,Vitacura,13,2009,,,,BYBY98,,,,,1
PORSCHE,CAYENNE,,7450000,167000,,Macul,13,2003,,,,RAAR57,,,,,1
FORD,ESCAPE,"3,0 XLT V6 DOHC 4X4 STATION WAGON 5P. T/A OTTO",4490000,140000,3.0,Chillán,16,2004,gasolina,automatico,5,CSJZ45,"SE VENDE 
FORD ESCAPE 2004 
IMPORTADO 
V6 3.0 AUTOMATICO 4X2 
4 AIRBAGS  
PRECIO CONVERSABLE",,True,,1
GREAT WALL,POER,,15290000,59000,,Las Condes,13,2022,,,,RSRL58,,,,,1
SUZUKI,BALENO,,8600000,83139,1.4,Las Condes,13,2018,gasolina,automatico,5,KRDK12,"Suzuki Baleno 1.4 GLX Auto 2018

Información General
- Único dueño
- 2 llaves originales
- 83.139 kms
- Mantenciones al día

Motor y Rendimiento
- Motor: 1.4 litros, 4 cilindros, 16 válvulas.
- Potencia: 91 caballos de fuerza aproximadamente
- Transmisión: Automática de 4 velocidades.
- Consumo de combustible: Aproximadamente 18 km/l en ciclo mixto.
- Suspensión: Delantera tipo MacPherson y trasera con barra de torsión.
- Frenos: Discos ventilados en la parte delantera y tambores en la parte trasera.

Exterior
- Espejos retrovisores: Eléctricos y plegables con señalizadores integrados.

Interior
- Capacidad: 5 pasajeros.
- Asientos: Ajuste manual de altura para el asiento del conductor, asiento trasero abatible 60/40.
- Volante: Forrado en cuero, con controles de audio y teléfono integrados.
- Climatización: Aire acondicionado automático.
- Entretenimiento: Sistema de audio con pantalla táctil de 7 pulgadas, conectividad Bluetooth, USB, y soporte para Apple CarPlay y Android Auto.

Seg",True,True,,1
PEUGEOT,301,,12450000,36000,,Macul,13,2021,,,,RAAR49,,,,,1
RENAULT,FLUENCE,,5750000,51000,,Macul,13,2012,,,,RAAR58,,,,,1
FORD,EXPLORER,,28970000,53953,2.3,Las Condes,13,2020,gasolina,automatico,5,PBBH86,"Ford Explorer 2.3 XLT Auto 4WD 2020

Información General:
- Único dueño.
- Mantenciones al día.
- 53.953 kms.
- 2 llaves originales

Motor y rendimiento:
- Motor: 2.3 litros turboalimentado de 4 cilindros.
- Potencia: Alrededor de 300 caballos de fuerza.
- Transmisión: Automática de 10 velocidades con modo manual.
- Tracción: Sistema 4WD.
- Consumo: Aproximadamente 10-11 km/l en condiciones mixtas.

Diseño exterior:
- SunRoof: Panorámico.

Interior y confort
- Capacidad: Para 7 pasajeros con asientos de cuero en tres filas.
- Tecnología: Pantalla táctil de 8 pulgadas compatible con Apple CarPlay y Android Auto. También incluye radio satelital, Bluetooth y puertos USB.
- Climatización: Control de clima automático de tres zonas, con calefacción de asientos en primera y segunda fila.
- Calefacción de manubrio
- Sistema KeyLess
- Espejos eléctricos
- Portalón eléctrico

Seguridad:
- Cámara trasera: Incluye cámara de visión trasera con sensores de estacionamiento.
- Airbags: Frontales, late",True,True,,1
JEEP,COMPASS,,9190000,150000,,Santiago,13,2024,,,,GCKS37,,,,,1
AUDI,Q5,,11390000,103000,,Santiago,13,2021,,,,CSGK59,,,,,1
